Game,Player,Team,Position,Projected FPTS,Random STDDEV,Uncorrelated Projections,Correlated Projections,Adjusted Projections
JAX vs NYJ,Jets,NYJ,DST,7.56,0.0,7.56,8.834039327394402,7.8785098318486
JAX vs NYJ,Tyler Conklin,NYJ,TE,6.32,0.0,6.32,5.727956841011119,6.1719892102527805
CLE vs KC,Jerry Jeudy,CLE,WR,15.28,0.0,15.28,20.494342822962167,16.58358570574054
CLE vs KC,Jameis Winston,CLE,QB,16.2,0.0,16.2,26.20533663135132,18.701334157837827
CLE vs KC,Nick Chubb,CLE,RB,8.97,0.0,8.97,12.781862044986319,9.92296551124658
CLE vs KC,David Njoku,CLE,TE,9.85,0.0,9.85,18.379775015301778,11.982443753825443
CLE vs KC,Elijah Moore,CLE,WR,11.32,0.0,11.32,19.672062002179626,13.408015500544906
CLE vs KC,Jerome Ford,CLE,RB,9.06,0.0,9.06,13.004780400357562,10.04619510008939
CLE vs KC,Michael Woods II,CLE,WR,6.05,0.0,6.05,11.677953086390723,7.45698827159768
CLE vs KC,Jordan Akins,CLE,TE,5.21,0.0,5.21,10.572259998650692,6.550564999662672
CLE vs KC,Browns,CLE,DST,5.92,0.0,5.92,5.974049738625005,5.933512434656251
CLE vs KC,Patrick Mahomes,KC,QB,18.14,0.0,18.14,35.81515684713711,22.55878921178428
CLE vs KC,Isiah Pacheco,KC,RB,14.23,0.0,14.23,21.049784395252278,15.934946098813068
CLE vs KC,Travis Kelce,KC,TE,13.58,0.0,13.58,28.39202913943744,17.28300728485936
CLE vs KC,DeAndre Hopkins,KC,WR,10.63,0.0,10.63,19.779828934377313,12.917457233594329
CLE vs KC,Xavier Worthy,KC,WR,9.07,0.0,9.07,10.134435699681617,9.336108924920405
CLE vs KC,Kareem Hunt,KC,RB,6.51,0.0,6.51,9.922199310454442,7.363049827613611
CLE vs KC,Chiefs,KC,DST,8.82,0.0,8.82,6.285441008684599,8.18636025217115
CLE vs KC,Noah Gray,KC,TE,6.55,0.0,6.55,-9.595729082535176,2.5135677293662058
ARI vs NE,James Conner,ARI,RB,19.88,0.0,19.88,25.985347366891673,21.40633684172292
ARI vs NE,Kyler Murray,ARI,QB,21.12,0.0,21.12,28.44304211003598,22.950760527508994
ARI vs NE,Trey McBride,ARI,TE,18.23,0.0,18.23,30.299625296452167,21.24740632411304
ARI vs NE,Marvin Harrison Jr.,ARI,WR,13.76,0.0,13.76,23.632993111357372,16.22824827783934
ARI vs NE,Michael Wilson,ARI,WR,8.67,0.0,8.67,15.825742278213038,10.458935569553258
ARI vs NE,Cardinals,ARI,DST,7.35,0.0,7.35,7.448138438653462,7.374534609663365
ARI vs NE,Rhamondre Stevenson,NE,RB,14.28,0.0,14.28,20.065412605726422,15.726353151431605
ARI vs NE,Drake Maye,NE,QB,18.18,0.0,18.18,36.72178081542059,22.81544520385515
ARI vs NE,DeMario Douglas,NE,WR,10.24,0.0,10.24,24.479203218892554,13.799800804723137
ARI vs NE,Hunter Henry,NE,TE,12.07,0.0,12.07,22.731955617715816,14.735488904428955
ARI vs NE,Kendrick Bourne,NE,WR,7.47,0.0,7.47,12.758353318726133,8.792088329681533
ARI vs NE,Kayshon Boutte,NE,WR,8.45,0.0,8.45,7.625818011706551,8.243954502926638
ARI vs NE,Austin Hooper,NE,TE,6.04,0.0,6.04,-7.225103195706158,2.723724201073461
