Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Jalen Reagor (37127948),Jalen Reagor,37127948,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,1.96
WR,Jaylen Johnson (37127950),Jaylen Johnson,37127950,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,0
WR,Laviska Shenault Jr. (37127952),Laviska Shenault Jr.,37127952,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,1.06
WR,Dez Fitzpatrick (37127954),Dez Fitzpatrick,37127954,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,0
WR,Ja'Lynn Polk (37127956),Ja'Lynn Polk,37127956,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,NE,2.34
WR,Javon Baker (37127958),Javon Baker,37127958,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,NE,0
WR,Alex Erickson (37127960),Alex Erickson,37127960,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,NE,0
WR,JaQuae Jackson (37127962),JaQuae Jackson,37127962,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,NE,0
WR,Braylon Sanders (37127964),Braylon Sanders,37127964,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,NE,0
WR,John Jiles (37127966),John Jiles,37127966,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,NE,0
TE,Adam Trautman (37128020),Adam Trautman,37128020,TE/FLEX,2800,DEN@CIN 12/28/2024 04:30PM ET,DEN,2.82
DST,Broncos  (37128077),Broncos ,37128077,DST,2800,DEN@CIN 12/28/2024 04:30PM ET,DEN,10.53
TE,Colby Parkinson (37128022),Colby Parkinson,37128022,TE/FLEX,2700,ARI@LAR 12/28/2024 08:10PM ET,LAR,4.25
TE,Lucas Krull (37128024),Lucas Krull,37128024,TE/FLEX,2600,DEN@CIN 12/28/2024 04:30PM ET,DEN,2.99
DST,Cardinals  (37128078),Cardinals ,37128078,DST,2600,ARI@LAR 12/28/2024 08:10PM ET,ARI,5.87
TE,Nate Adkins (37128054),Nate Adkins,37128054,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,DEN,2.42
TE,Donald Parham Jr. (37128056),Donald Parham Jr.,37128056,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,DEN,0
TE,Thomas Yassmin (37128058),Thomas Yassmin,37128058,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,DEN,0
TE,Mitchell Fraboni (37128060),Mitchell Fraboni,37128060,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,DEN,0
TE,Drew Sample (37128062),Drew Sample,37128062,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,CIN,1.99
TE,Tanner Hudson (37128064),Tanner Hudson,37128064,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,CIN,3.74
TE,Cam Grandy (37128066),Cam Grandy,37128066,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,CIN,0.7
TE,Tanner McLachlan (37128068),Tanner McLachlan,37128068,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
TE,Erick All Jr. (37128070),Erick All Jr.,37128070,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,CIN,3.98
TE,Cal Adomitis (37128072),Cal Adomitis,37128072,TE/FLEX,2500,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
TE,Tip Reiman (37128040),Tip Reiman,37128040,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,ARI,0.65
TE,Elijah Higgins (37128042),Elijah Higgins,37128042,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,ARI,2.99
TE,Travis Vokolek (37128044),Travis Vokolek,37128044,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
TE,Bernhard Seikovits (37128046),Bernhard Seikovits,37128046,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
TE,Hunter Long (37128048),Hunter Long,37128048,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,LAR,0.87
TE,Davis Allen (37128050),Davis Allen,37128050,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,LAR,0.76
TE,Nikola Kalinic (37128052),Nikola Kalinic,37128052,TE/FLEX,2500,ARI@LAR 12/28/2024 08:10PM ET,LAR,0
TE,Hayden Hurst (37128026),Hayden Hurst,37128026,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,LAC,1.91
TE,Tucker Fisk (37128028),Tucker Fisk,37128028,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,LAC,1.3
TE,McCallan Castles (37128030),McCallan Castles,37128030,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,LAC,0
TE,Eric Tomlinson (37128032),Eric Tomlinson,37128032,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,LAC,0.32
TE,Jaheim Bell (37128034),Jaheim Bell,37128034,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,NE,0.08
TE,Mitchell Wilcox (37128036),Mitchell Wilcox,37128036,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,NE,0
TE,Jack Westover (37128038),Jack Westover,37128038,TE/FLEX,2500,LAC@NE 12/28/2024 01:00PM ET,NE,0
DST,Patriots  (37128079),Patriots ,37128079,DST,2400,LAC@NE 12/28/2024 01:00PM ET,NE,4.4
