QB,RB,RB,WR,WR,WR,TE,FLEX,DST,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Team Stack,Runback,Stack Positions
Justin Herbert (37127815),Chase Brown (37127830),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Kendrick Bourne (37127936),Will Dissly (37128010),Trey McBride (37128006),Rams (37128075),49700,125.89,2.7344462934768744e-07,226.06,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Drake Maye (37127816),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Courtland Sutton (37127910),Hunter Henry (37128008),Andrei Iosivas (37127928),Cardinals (37128078),50000,126.04,3.451017222277396e-07,225.69,QB +2 | 1,1,Stack: RB, TE; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Javonte Williams (37127840),Ladd McConkey (37127906),Kayshon Boutte (37127924),Marvin Mims Jr. (37127926),Trey McBride (37128006),Kyren Williams (37127832),Cardinals (37128078),50000,125.8,1.315708710776897e-06,259.4,QB +2 | 1,1,Stack: RB, WR; Runback: RB
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Tee Higgins (37127904),Courtland Sutton (37127910),DeMario Douglas (37127918),Will Dissly (37128010),Colby Parkinson (37128022),Chargers (37128074),49600,126.04,5.026119160636247e-07,266.29,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Matthew Stafford (37127817),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Kayshon Boutte (37127924),Trey McBride (37128006),Hunter Henry (37128008),Patriots (37128079),49800,127.94,3.1551478296718914e-06,255.05,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Justin Herbert (37127815),Kyren Williams (37127832),J.K. Dobbins (37127836),Tee Higgins (37127904),Joshua Palmer (37127916),Marvin Mims Jr. (37127926),Hunter Henry (37128008),Puka Nacua (37127902),Chargers (37128074),50000,125.81,3.5368334345649398e-06,259.66,QB +3 | 1,1,Stack: RB, WR, DST; Runback: TE
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Ladd McConkey (37127906),Courtland Sutton (37127910),Joshua Palmer (37127916),Mike Gesicki (37128018),Will Dissly (37128010),Bengals (37128076),49400,126.48,1.644528618254158e-06,261.95,QB +3 | 1,1,Stack: RB, TE, DST; Runback: WR
Drake Maye (37127816),Kyren Williams (37127832),J.K. Dobbins (37127836),Ladd McConkey (37127906),Courtland Sutton (37127910),Kayshon Boutte (37127924),Hunter Henry (37128008),Trey McBride (37128006),Rams (37128075),49600,127.23,5.94407749396308e-06,264.13,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Courtland Sutton (37127910),DeMario Douglas (37127918),Marvin Mims Jr. (37127926),Will Dissly (37128010),Tee Higgins (37127904),Chargers (37128074),49800,126.19,1.852751615102638e-06,267.23,QB +2 | 2,2,Stack: WR, WR; Runback: RB, FLEX
Joe Burrow (37127812),J.K. Dobbins (37127836),Antonio Gibson (37127844),Tee Higgins (37127904),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Mike Gesicki (37128018),Chase Brown (37127830),Cardinals (37128078),49900,125.87,1.6380665867065936e-06,254.56,QB +3 | 1,1,Stack: WR, TE, FLEX; Runback: WR
Kyler Murray (37127814),Chase Brown (37127830),James Conner (37127834),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Colby Parkinson (37128022),Mike Gesicki (37128018),Bengals (37128076),50000,126.97,4.2527072165437426e-07,244.73,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Joe Burrow (37127812),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Cooper Kupp (37127908),Courtland Sutton (37127910),Mike Gesicki (37128018),Colby Parkinson (37128022),Bengals (37128076),49900,126.05,1.2182444824650718e-07,219.76,QB +3 | 1,1,Stack: WR, TE, DST; Runback: WR
Justin Herbert (37127815),Chase Brown (37127830),J.K. Dobbins (37127836),Ladd McConkey (37127906),Courtland Sutton (37127910),Devaughn Vele (37127922),Hunter Henry (37128008),Trey McBride (37128006),Rams (37128075),49900,127.83,3.1079417421653166e-06,262.79,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Cooper Kupp (37127908),Devaughn Vele (37127922),Mike Gesicki (37128018),Greg Dortch (37127938),Patriots (37128079),50000,125.82,2.490552296580485e-07,259.57,QB +3 | 1,1,Stack: RB, WR, TE; Runback: WR
Kyler Murray (37127814),Chase Brown (37127830),J.K. Dobbins (37127836),Puka Nacua (37127902),Marvin Harrison Jr. (37127912),Joshua Palmer (37127916),Trey McBride (37128006),Will Dissly (37128010),Bengals (37128076),49900,127.27,2.088009219657358e-06,259.68,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Joe Burrow (37127812),Chase Brown (37127830),Antonio Gibson (37127844),Tee Higgins (37127904),Ladd McConkey (37127906),Troy Franklin (37127934),Mike Gesicki (37128018),Kyren Williams (37127832),Patriots (37128079),49900,126.07,1.0409413652921701e-06,259.47,QB +3 | 1,1,Stack: RB, WR, TE; Runback: WR
Joe Burrow (37127812),Kyren Williams (37127832),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Devaughn Vele (37127922),Mike Gesicki (37128018),Hunter Henry (37128008),Rams (37128075),49800,128.33,3.03332220689424e-06,260.4,QB +2 | 2,2,Stack: WR, TE; Runback: WR, WR
Kyler Murray (37127814),Kyren Williams (37127832),James Conner (37127834),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),DeMario Douglas (37127918),Hunter Henry (37128008),Trey McBride (37128006),Broncos (37128077),49900,126.12,4.777910919152675e-06,256.35,QB +3 | 1,1,Stack: RB, WR, FLEX; Runback: RB
Drake Maye (37127816),James Conner (37127834),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Kayshon Boutte (37127924),Hunter Henry (37128008),Trey McBride (37128006),Broncos (37128077),49800,126.23,5.042060126768346e-06,248.89,QB +2 | 1,1,Stack: WR, TE; Runback: RB
Joe Burrow (37127812),Chase Brown (37127830),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Troy Franklin (37127934),Will Dissly (37128010),Trey McBride (37128006),Bengals (37128076),49900,127.55,3.431530128395817e-07,236.55,QB +3 | 1,1,Stack: RB, WR, DST; Runback: WR
